w_conf,level,confidence,fast,intuition,oracle,random,intuition_minus_confidence_pp,confidence_minus_random_pp
0.0,L0,0.7296666666666667,0.6601666666666667,0.7298333333333333,0.8601666666666666,0.7311666666666666,0.01666666666666483,-0.14999999999999458
0.0,L1,0.7296666666666667,0.6601666666666667,0.7296666666666667,0.8601666666666666,0.7311666666666666,0.0,-0.14999999999999458
0.0,L2,0.7296666666666667,0.6601666666666667,0.7561666666666667,0.8601666666666666,0.7311666666666666,2.649999999999997,-0.14999999999999458
0.0,L3,0.7296666666666667,0.6601666666666667,0.7736666666666666,0.8601666666666666,0.7311666666666666,4.399999999999993,-0.14999999999999458
0.0,L4,0.7296666666666667,0.6601666666666667,0.788,0.8601666666666666,0.7311666666666666,5.833333333333335,-0.14999999999999458
0.5,L0,0.7476666666666667,0.657,0.7475,0.857,0.7246666666666667,-0.01666666666666483,2.300000000000002
0.5,L1,0.7476666666666667,0.657,0.7476666666666667,0.857,0.7246666666666667,0.0,2.300000000000002
0.5,L2,0.7476666666666667,0.657,0.7596666666666667,0.857,0.7246666666666667,1.200000000000001,2.300000000000002
0.5,L3,0.7476666666666667,0.657,0.782,0.857,0.7246666666666667,3.4333333333333327,2.300000000000002
0.5,L4,0.7476666666666667,0.657,0.7911666666666667,0.857,0.7246666666666667,4.349999999999998,2.300000000000002
1.1,L0,0.7576666666666667,0.6413333333333333,0.7578333333333334,0.8413333333333334,0.7133333333333334,0.01666666666666483,4.433333333333334
1.1,L1,0.7576666666666667,0.6413333333333333,0.7576666666666667,0.8413333333333334,0.7133333333333334,0.0,4.433333333333334
1.1,L2,0.7576666666666667,0.6413333333333333,0.7665,0.8413333333333334,0.7133333333333334,0.8833333333333249,4.433333333333334
1.1,L3,0.7576666666666667,0.6413333333333333,0.7775,0.8413333333333334,0.7133333333333334,1.9833333333333258,4.433333333333334
1.1,L4,0.7576666666666667,0.6413333333333333,0.7903333333333333,0.8413333333333334,0.7133333333333334,3.266666666666662,4.433333333333334
2.0,L0,0.7455,0.6,0.7451666666666666,0.8,0.6775,-0.033333333333340764,6.800000000000006
2.0,L1,0.7455,0.6,0.7455,0.8,0.6775,0.0,6.800000000000006
2.0,L2,0.7455,0.6,0.7501666666666666,0.8,0.6775,0.4666666666666597,6.800000000000006
2.0,L3,0.7455,0.6,0.7593333333333333,0.8,0.6775,1.3833333333333253,6.800000000000006
2.0,L4,0.7455,0.6,0.7688333333333334,0.8,0.6775,2.3333333333333317,6.800000000000006
