w_conf,level,cue_strength,test_r2_confidence_only,test_r2_confidence_plus_cue,incremental_r2
0.0,L0,0.0,-0.0016236226979005064,-0.0015403233333688426,8.329936453166376e-05
0.0,L1,0.0,-0.0016236226979005064,-0.0016236226979005064,0.0
0.0,L2,0.45,-0.0016236226979005064,0.16641974327171905,0.16804336596961955
0.0,L3,1.0,-0.0016236226979005064,0.4892432726262703,0.4908668953241708
0.0,L4,2.0,-0.0016236226979005064,0.7951015484576092,0.7967251711555097
0.5,L0,0.0,-0.0002603314097453513,-0.0003654399126655772,-0.00010510850292022589
0.5,L1,0.0,-0.0002603314097453513,-0.0002603314097453513,0.0
0.5,L2,0.45,-0.0002603314097453513,0.16803155098863776,0.1682918823983831
0.5,L3,1.0,-0.0002603314097453513,0.49269160993370875,0.4929519413434541
0.5,L4,2.0,-0.0002603314097453513,0.7954240653788749,0.7956843967886202
1.1,L0,0.0,-0.0005983725714062693,-0.0005971018044161891,1.2707669900802188e-06
1.1,L1,0.0,-0.0005983725714062693,-0.0005983725714062693,0.0
1.1,L2,0.45,-0.0005983725714062693,0.1740120538897354,0.17461042646114167
1.1,L3,1.0,-0.0005983725714062693,0.5003152166944349,0.5009135892658412
1.1,L4,2.0,-0.0005983725714062693,0.7965645513064479,0.7971629238778541
2.0,L0,0.0,-0.000497085117077356,-0.0008032417304204564,-0.0003061566133431004
2.0,L1,0.0,-0.000497085117077356,-0.000497085117077356,0.0
2.0,L2,0.45,-0.000497085117077356,0.15712972025929128,0.15762680537636864
2.0,L3,1.0,-0.000497085117077356,0.5044445752568775,0.5049416603739548
2.0,L4,2.0,-0.000497085117077356,0.7998689564344519,0.8003660415515292
