split,w_conf,level,budget,method,accuracy
OOD,0.0,L2,0.3,fast,0.6651666666666667
OOD,0.0,L2,0.3,confidence,0.7686666666666667
OOD,0.0,L2,0.3,intuition,0.797
OOD,0.0,L2,0.3,random,0.7665
OOD,0.0,L2,0.3,oracle,0.9651666666666666
ID,0.0,L2,0.4,fast,0.6601666666666667
ID,0.0,L2,0.4,confidence,0.7995
ID,0.0,L2,0.4,intuition,0.835
ID,0.0,L2,0.4,random,0.7993333333333333
ID,0.0,L2,0.4,oracle,1.0
OOD,0.0,L2,0.4,fast,0.6651666666666667
OOD,0.0,L2,0.4,confidence,0.8041666666666667
OOD,0.0,L2,0.4,intuition,0.8341666666666666
OOD,0.0,L2,0.4,random,0.7998333333333333
OOD,0.0,L2,0.4,oracle,1.0
ID,0.0,L3,0.1,fast,0.6601666666666667
ID,0.0,L3,0.1,confidence,0.6948333333333333
ID,0.0,L3,0.1,intuition,0.7223333333333334
ID,0.0,L3,0.1,random,0.6961666666666667
ID,0.0,L3,0.1,oracle,0.7601666666666667
OOD,0.0,L3,0.1,fast,0.6651666666666667
OOD,0.0,L3,0.1,confidence,0.7003333333333334
OOD,0.0,L3,0.1,intuition,0.728
OOD,0.0,L3,0.1,random,0.7036666666666667
OOD,0.0,L3,0.1,oracle,0.7651666666666667
ID,0.0,L3,0.2,fast,0.6601666666666667
ID,0.0,L3,0.2,confidence,0.7296666666666667
ID,0.0,L3,0.2,intuition,0.7736666666666666
ID,0.0,L3,0.2,random,0.7311666666666666
ID,0.0,L3,0.2,oracle,0.8601666666666666
OOD,0.0,L3,0.2,fast,0.6651666666666667
OOD,0.0,L3,0.2,confidence,0.7353333333333333
OOD,0.0,L3,0.2,intuition,0.7811666666666667
OOD,0.0,L3,0.2,random,0.7333333333333333
OOD,0.0,L3,0.2,oracle,0.8651666666666666
ID,0.0,L3,0.3,fast,0.6601666666666667
ID,0.0,L3,0.3,confidence,0.7638333333333334
ID,0.0,L3,0.3,intuition,0.8236666666666667
ID,0.0,L3,0.3,random,0.7628333333333334
ID,0.0,L3,0.3,oracle,0.9601666666666666
OOD,0.0,L3,0.3,fast,0.6651666666666667
OOD,0.0,L3,0.3,confidence,0.7686666666666667
OOD,0.0,L3,0.3,intuition,0.8266666666666667
OOD,0.0,L3,0.3,random,0.7665
OOD,0.0,L3,0.3,oracle,0.9651666666666666
ID,0.0,L3,0.4,fast,0.6601666666666667
ID,0.0,L3,0.4,confidence,0.7995
ID,0.0,L3,0.4,intuition,0.8641666666666666
ID,0.0,L3,0.4,random,0.7993333333333333
ID,0.0,L3,0.4,oracle,1.0
OOD,0.0,L3,0.4,fast,0.6651666666666667
OOD,0.0,L3,0.4,confidence,0.8041666666666667
OOD,0.0,L3,0.4,intuition,0.8633333333333333
OOD,0.0,L3,0.4,random,0.7998333333333333
OOD,0.0,L3,0.4,oracle,1.0
ID,0.0,L4,0.1,fast,0.6601666666666667
ID,0.0,L4,0.1,confidence,0.6948333333333333
ID,0.0,L4,0.1,intuition,0.7315
ID,0.0,L4,0.1,random,0.6961666666666667
ID,0.0,L4,0.1,oracle,0.7601666666666667
OOD,0.0,L4,0.1,fast,0.6651666666666667
OOD,0.0,L4,0.1,confidence,0.7003333333333334
OOD,0.0,L4,0.1,intuition,0.7386666666666667
OOD,0.0,L4,0.1,random,0.7036666666666667
OOD,0.0,L4,0.1,oracle,0.7651666666666667
ID,0.0,L4,0.2,fast,0.6601666666666667
ID,0.0,L4,0.2,confidence,0.7296666666666667
ID,0.0,L4,0.2,intuition,0.788
ID,0.0,L4,0.2,random,0.7311666666666666
ID,0.0,L4,0.2,oracle,0.8601666666666666
OOD,0.0,L4,0.2,fast,0.6651666666666667
OOD,0.0,L4,0.2,confidence,0.7353333333333333
OOD,0.0,L4,0.2,intuition,0.7953333333333333
OOD,0.0,L4,0.2,random,0.7333333333333333
OOD,0.0,L4,0.2,oracle,0.8651666666666666
ID,0.0,L4,0.3,fast,0.6601666666666667
ID,0.0,L4,0.3,confidence,0.7638333333333334
ID,0.0,L4,0.3,intuition,0.84
ID,0.0,L4,0.3,random,0.7628333333333334
ID,0.0,L4,0.3,oracle,0.9601666666666666
OOD,0.0,L4,0.3,fast,0.6651666666666667
OOD,0.0,L4,0.3,confidence,0.7686666666666667
OOD,0.0,L4,0.3,intuition,0.8423333333333334
OOD,0.0,L4,0.3,random,0.7665
OOD,0.0,L4,0.3,oracle,0.9651666666666666
ID,0.0,L4,0.4,fast,0.6601666666666667
ID,0.0,L4,0.4,confidence,0.7995
ID,0.0,L4,0.4,intuition,0.879
ID,0.0,L4,0.4,random,0.7993333333333333
ID,0.0,L4,0.4,oracle,1.0
OOD,0.0,L4,0.4,fast,0.6651666666666667
OOD,0.0,L4,0.4,confidence,0.8041666666666667
OOD,0.0,L4,0.4,intuition,0.8831666666666667
OOD,0.0,L4,0.4,random,0.7998333333333333
OOD,0.0,L4,0.4,oracle,1.0
ID,0.5,L0,0.1,fast,0.657
ID,0.5,L0,0.1,confidence,0.7018333333333333
ID,0.5,L0,0.1,intuition,0.7018333333333333
ID,0.5,L0,0.1,random,0.6896666666666667
ID,0.5,L0,0.1,oracle,0.757
OOD,0.5,L0,0.1,fast,0.6656666666666666
OOD,0.5,L0,0.1,confidence,0.7111666666666666
OOD,0.5,L0,0.1,intuition,0.711
OOD,0.5,L0,0.1,random,0.7003333333333334
OOD,0.5,L0,0.1,oracle,0.7656666666666667
ID,0.5,L0,0.2,fast,0.657
ID,0.5,L0,0.2,confidence,0.7476666666666667
ID,0.5,L0,0.2,intuition,0.7475
ID,0.5,L0,0.2,random,0.7246666666666667
ID,0.5,L0,0.2,oracle,0.857
OOD,0.5,L0,0.2,fast,0.6656666666666666
OOD,0.5,L0,0.2,confidence,0.7543333333333333
OOD,0.5,L0,0.2,intuition,0.7541666666666667
OOD,0.5,L0,0.2,random,0.7295
OOD,0.5,L0,0.2,oracle,0.8656666666666667
ID,0.5,L0,0.3,fast,0.657
ID,0.5,L0,0.3,confidence,0.7895
ID,0.5,L0,0.3,intuition,0.7891666666666667
ID,0.5,L0,0.3,random,0.7646666666666667
ID,0.5,L0,0.3,oracle,0.957
OOD,0.5,L0,0.3,fast,0.6656666666666666
OOD,0.5,L0,0.3,confidence,0.7955
OOD,0.5,L0,0.3,intuition,0.7955
OOD,0.5,L0,0.3,random,0.7615
OOD,0.5,L0,0.3,oracle,0.9656666666666667
ID,0.5,L0,0.4,fast,0.657
ID,0.5,L0,0.4,confidence,0.8256666666666667
ID,0.5,L0,0.4,intuition,0.8253333333333334
ID,0.5,L0,0.4,random,0.7953333333333333
ID,0.5,L0,0.4,oracle,1.0
OOD,0.5,L0,0.4,fast,0.6656666666666666
OOD,0.5,L0,0.4,confidence,0.8316666666666667
OOD,0.5,L0,0.4,intuition,0.8315
OOD,0.5,L0,0.4,random,0.8043333333333333
OOD,0.5,L0,0.4,oracle,1.0
ID,0.5,L1,0.1,fast,0.657
ID,0.5,L1,0.1,confidence,0.7018333333333333
ID,0.5,L1,0.1,intuition,0.7018333333333333
ID,0.5,L1,0.1,random,0.6896666666666667
ID,0.5,L1,0.1,oracle,0.757
OOD,0.5,L1,0.1,fast,0.6656666666666666
OOD,0.5,L1,0.1,confidence,0.7111666666666666
OOD,0.5,L1,0.1,intuition,0.7111666666666666
OOD,0.5,L1,0.1,random,0.7003333333333334
