w_conf,level,cue_strength,test_auc_confidence_only,test_auc_confidence_plus_cue,test_delta_auc,test_delta_logloss,ood_auc_confidence_only,ood_auc_confidence_plus_cue,ood_delta_auc
0.0,L0,0.0,0.4951421900558399,0.5086792152867605,0.013537025230920596,-0.00019981277837288758,0.48811923642531185,0.4837875014701446,-0.004331734955167255
0.0,L1,0.0,0.4951421900558399,0.4951421900558399,0.0,5.081905789516838e-07,0.48811923642531185,0.48811923642531185,0.0
0.0,L2,0.45,0.4951421900558399,0.6206770301761448,0.1255348401203049,-0.02058857657417268,0.48811923642531185,0.6198108262256079,0.13169158980029605
0.0,L3,1.0,0.4951421900558399,0.7011393207361774,0.20599713068033743,-0.05832280664450684,0.48811923642531185,0.7019084378377981,0.21378920141248625
0.0,L4,2.0,0.4951421900558399,0.7531830392922461,0.25804084923640613,-0.09449313244857505,0.48811923642531185,0.7574659958525398,0.26934675942722797
0.5,L0,0.0,0.601665660828367,0.5997389751000786,-0.0019266857282884686,0.0003387704539612457,0.5950963459146846,0.5959661076859557,0.0008697617712710715
0.5,L1,0.0,0.601665660828367,0.601665660828367,0.0,7.495867873075213e-07,0.5950963459146846,0.5950963459146846,0.0
0.5,L2,0.45,0.601665660828367,0.6446474364189396,0.04298177559057259,-0.015397357154384284,0.5950963459146846,0.662413111192212,0.06731676527752739
0.5,L3,1.0,0.601665660828367,0.7188705372705001,0.11720487644213307,-0.05697629105211177,0.5950963459146846,0.720679473846862,0.1255831279321774
0.5,L4,2.0,0.601665660828367,0.765169422121244,0.16350376129287691,-0.08956499046193622,0.5950963459146846,0.7760223336001009,0.18092598768541623
1.1,L0,0.0,0.7036733706111029,0.7037866433777215,0.00011327276661854402,3.299828697600482e-05,0.690644531335371,0.6890500920092996,-0.0015944393260713952
1.1,L1,0.0,0.7036733706111029,0.7036733706111029,0.0,-1.8182353421769548e-06,0.690644531335371,0.690644531335371,0.0
1.1,L2,0.45,0.7036733706111029,0.7260952196477289,0.02242184903662603,-0.01530671712362408,0.690644531335371,0.7177201314598955,0.02707560012452459
1.1,L3,1.0,0.7036733706111029,0.7696600706010557,0.06598669998995277,-0.052032342317023805,0.690644531335371,0.7541486747892577,0.06350414345388677
1.1,L4,2.0,0.7036733706111029,0.8027019056875004,0.09902853507639753,-0.08373341687990254,0.690644531335371,0.7960825990478044,0.10543806771243347
2.0,L0,0.0,0.796610474537037,0.7960483796296296,-0.00056209490740744,0.0002194976539321436,0.7992445099586796,0.7993992293049816,0.00015471934630206796
2.0,L1,0.0,0.796610474537037,0.796610474537037,0.0,-5.81688264200686e-06,0.7992445099586796,0.7992445099586796,0.0
2.0,L2,0.45,0.796610474537037,0.8043874999999999,0.007777025462962883,-0.01059464635768348,0.7992445099586796,0.8157621059473512,0.01651759598867164
2.0,L3,1.0,0.796610474537037,0.8287795138888887,0.03216903935185167,-0.04013128696624091,0.7992445099586796,0.8371730349598403,0.03792852500116073
2.0,L4,2.0,0.796610474537037,0.8539238425925926,0.057313368055555536,-0.07393547206275008,0.7992445099586796,0.8563354844700312,0.05709097451135159
