seed,severity,gain_vs_B3_pp
1,1.0,3.816666666666668
1,1.5,3.5499999999999976
1,2.0,2.866666666666662
1,3.0,1.1499999999999955
1,5.0,0.050000000000005596
2,1.0,4.1666666666666625
2,1.5,3.2166666666666677
2,2.0,2.5666666666666615
2,3.0,1.416666666666666
2,5.0,-0.43333333333333
3,1.0,3.816666666666657
3,1.5,3.0999999999999917
3,2.0,2.616666666666667
3,3.0,1.316666666666666
3,5.0,-0.016666666666675933
4,1.0,3.516666666666668
4,1.5,2.7166666666666672
4,2.0,2.100000000000002
4,3.0,1.1666666666666603
4,5.0,-0.5000000000000004
5,1.0,3.516666666666668
5,1.5,3.083333333333327
5,2.0,2.2499999999999964
5,3.0,0.7833333333333359
5,5.0,-0.5666666666666709
6,1.0,4.033333333333333
6,1.5,3.3166666666666678
6,2.0,2.6666666666666727
6,3.0,1.6666666666666718
6,5.0,-0.10000000000000009
7,1.0,3.6666666666666625
7,1.5,3.0333333333333323
7,2.0,2.183333333333337
7,3.0,1.6000000000000014
7,5.0,-1.0333333333333306
8,1.0,3.849999999999998
8,1.5,3.0333333333333323
8,2.0,2.616666666666667
8,3.0,1.316666666666666
8,5.0,-0.6500000000000061
9,1.0,3.633333333333344
9,1.5,3.283333333333338
9,2.0,2.4666666666666726
9,3.0,1.6000000000000014
9,5.0,0.016666666666675933
10,1.0,3.5333333333333328
10,1.5,3.0500000000000083
10,2.0,1.9000000000000017
10,3.0,0.9666666666666712
10,5.0,-1.2666666666666604
11,1.0,3.8833333333333275
11,1.5,3.266666666666662
11,2.0,2.3333333333333317
11,3.0,1.433333333333331
11,5.0,0.13333333333332975
12,1.0,3.5499999999999976
12,1.5,3.0500000000000083
12,2.0,2.3666666666666725
12,3.0,1.7166666666666663
12,5.0,-0.23333333333332984
13,1.0,4.366666666666664
13,1.5,3.483333333333327
13,2.0,2.9833333333333267
13,3.0,1.7833333333333257
13,5.0,0.11666666666666492
14,1.0,3.4500000000000086
14,1.5,2.866666666666673
14,2.0,2.500000000000002
14,3.0,0.9833333333333361
14,5.0,-0.5166666666666653
15,1.0,4.133333333333333
15,1.5,3.383333333333338
15,2.0,2.6666666666666727
15,3.0,1.4000000000000012
15,5.0,0.0
16,1.0,3.600000000000003
16,1.5,3.3666666666666734
16,2.0,2.3666666666666725
16,3.0,1.4000000000000012
16,5.0,0.08333333333333526
17,1.0,3.616666666666668
17,1.5,3.166666666666662
17,2.0,1.7833333333333368
17,3.0,1.5499999999999958
17,5.0,-0.7000000000000006
18,1.0,3.4833333333333383
18,1.5,2.8000000000000025
18,2.0,2.533333333333332
18,3.0,1.2333333333333307
18,5.0,-0.5499999999999949
19,1.0,3.966666666666663
19,1.5,3.483333333333327
19,2.0,2.8166666666666673
19,3.0,1.6666666666666607
19,5.0,0.3666666666666707
20,1.0,4.100000000000003
20,1.5,3.383333333333338
20,2.0,2.766666666666673
20,3.0,1.316666666666666
20,5.0,-0.5833333333333246
